URL,Texto,Título,Clases CSS,Rel,Encontrado en,Timestamp
https://colombina.com/co-es/product/brand/fruly,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.583564
https://colombina.com/co-es/blog/detail/285/que-pasa-cuando-la-chupeta-con-chicle-mas-famosa-y-la-gaseosa-mas-querida-de-colombia-se-cruzan,,,btn--view,,https://colombina.com/co-es,2025-10-13T11:37:34.585307
https://colombina.com/co-es/product/brand/bridge,Bridge,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.580183
https://colombina.com/co-es/sostenibilidad,Destacados,,,,https://colombina.com/co-es,2025-10-13T11:37:34.585641
https://colombina.com/co-es/product/brand/cafe-buendia,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584503
javascript:void(0),Blog,,tag-inside position-relative,,https://colombina.com/co-es,2025-10-13T11:37:34.586217
https://colombina.com/co-es/clientes,Clientes,,,,https://colombina.com/co-es,2025-10-13T11:37:34.585961
https://colombina.com/co-es/product/brand/millows,Millows,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.580825
https://colombina.com/co-es/,,,,,https://colombina.com/co-es,2025-10-13T11:37:34.579677
https://colombina.com/co-es,Sostenibilidad,,,,https://colombina.com/co-es,2025-10-13T11:37:34.582792
https://colombina.com/co-es/energia,Energía,,,,https://colombina.com/co-es,2025-10-13T11:37:34.585578
https://colombina.com/product,Ver productos,,btn-view-more,,https://colombina.com/co-es,2025-10-13T11:37:34.581217
https://colombina.com/co-es/product/brand/colombina-100,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.583506
https://colombina.com/co-es/product/brand/menta-helada,Menta Helada,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.580806
https://colombina.com/co-es/product/brand/snake,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.585150
https://colombina.com/co-es/product/brand/kick-back,Kick,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.580671
https://colombina.com/co-es/product/brand/max,Max,,,,https://colombina.com/co-es,2025-10-13T11:37:34.582196
https://colombina.com/co-es/product/brand/van-camps,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.585244
https://colombina.com/co-es/contactanos,Contáctanos,,,,https://colombina.com/co-es,2025-10-13T11:37:34.582975
https://colombina.com/co-es/product/brand/crakenas,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584691
https://colombina.com/co-es/product/brand/colombina,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584635
https://colombina.com/blog,Noticias,,nav-link,,https://colombina.com/co-es,2025-10-13T11:37:34.581475
https://colombina.com/co-es/product/brand/grissly,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584792
https://colombina.com/co-es/product/brand/tipitin,Tipitin,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.581119
https://colombina.com/co-es/product/category/dulceria,Ver productos,,view-product-btn,,https://colombina.com/co-es,2025-10-13T11:37:34.583170
https://colombina.com/co-es/product/brand/crakenas,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.583527
https://colombina.com/co-es/product/brand/amazon,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584427
https://colombina.com/co-es/product/brand/bon-bon-bum,Bon Bon Bum,,,,https://colombina.com/co-es,2025-10-13T11:37:34.581822
https://colombina.com/co-es/product,Ver todos,,btn-see-all,,https://colombina.com/co-es,2025-10-13T11:37:34.583228
https://colombina.com/co-es/informacion-legal,Información Legal,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.581314
https://colombina.com/co-es/product/brand/tentazione,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584348
https://colombina.com/co-es/product/category/cafe,Café,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.579834
https://colombina.com/co-es/product/brand/colombina-100,"Colombina
                              100%",,,,https://colombina.com/co-es,2025-10-13T11:37:34.582040
https://colombina.com/co-es/product/brand/la-constancia,La Constancia,,dropdown-item,,https://colombina.com/co-es,2025-10-13T11:37:34.580714
https://colombina.com/co-es/product/brand/amazon,Amazon,,,,https://colombina.com/co-es,2025-10-13T11:37:34.581803
https://colombina.com/co-es/product/brand/piazza,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584174
https://colombina.com/co-es/product/brand/coffee-delight,,,position-absolute full-box-link,,https://colombina.com/co-es,2025-10-13T11:37:34.584617
https://colombina.com/co-es/sostenibilidad/estrategia,Estrategia,,,,https://colombina.com/co-es,2025-10-13T11:37:34.582832
https://colombina.com/co-es/blog/detail/277/colombina-y-tajin-presentan-nuevo-remix-bon-bon-bum-x-tajin-la-fusion-que-internet-hizo-realidad,,,btn--view,,https://colombina.com/co-es,2025-10-13T11:37:34.585363
https://colombina.com/co-es/product/brand/pirulito,Pirulito,,,,https://colombina.com/co-es,2025-10-13T11:37:34.582394
